"OTU" "Feature_name" "272_179_Lych_384_193_S1_L001" "272_180_Reso_372_205_S2_L001" "272_185_Barg_348_229_S4_L001" "272_186_Reso_336_241_S5_L001" "272_188_Barg_324_253_S6_L001" "272_189_Barg_312_265_S7_L001" "272_191_Marr_383_194_S9_L001" "272_193_Reso_371_206_S10_L001" "272_200_Fril_359_218_S11_L001" "272_201_Apol_347_230_S12_L001" "272_202_Apol_335_242_S13_L001" "272_204_Keph_311_266_S15_L001" "272_205_Keph_299_278_S16_L001" "272_206_Nano_382_195_S17_L001" "272_207_Unde_370_207_S18_L001" "272_208_Lily_358_219_S19_L001" "272_209_Phys_346_231_S20_L001" "272_210_Lych_334_243_S21_L001" "272_211_Apol_322_255_S22_L001" "272_212_Fril_310_267_S23_L001" "272_213_Fors_298_279_S24_L001" "272_214_Lych_381_196_S25_L001" "272_215_Agal_369_208_S26_L001" "272_216_Diph_357_220_S27_L001" "272_217_Diph_345_232_S28_L001" "272_218_Diph_333_244_S29_L001" "272_219_Diph_321_256_S30_L001" "272_220_Cord_309_268_S31_L001" "272_221_Diph_297_280_S32_L001" "272_222_Gymn_380_197_S33_L001" "272_223_Cras_368_209_S34_L001" "272_225_Nano_344_233_S36_L001" "272_226_Desm_332_245_S37_L001" "272_229_Chun_320_257_S38_L001" "272_230_Lych_308_269_S39_L001" "272_231_Fors_296_281_S40_L001" "272_232_Barg_379_198_S41_L001" "272_237_Chun_367_210_S42_L001" "272_238_Gymn_355_222_S43_L001" "272_239_Barg_343_234_S44_L001" "272_240_Chun_331_246_S45_L001"
"Eukaryota_Metazoa_Chordata_Tunicata_Thaliacea_Salpida_Salpidae__100_252_92.01_NA_NA_NA_NA" "3831957acdee8df9a05e9c60c2faa5fd" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "26" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida__89.55_201_ 85.84_NA_NA_NA" "037f4e98598b1250f4988ae76af97d71" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Rhizaria_Cercozoa_Silicofilosea_Euglyphida__96.69_242_73.34___NA_NA_NA_NA" "ca145cc72819ec4a93fea00385a6d4a4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda__100_180.00_ 90.84_NA_NA" "1f9f3b6f8ebba77d3f5f2fdf96cbaa72" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Phyllopharyngea_Suctoria__94.84_213_88.53__NA_NA_NA_NA" "4dc35a5d36d2f5dcabaaa0548833e79b" "0" "0" "0" "20" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Viridiplantae_Chlorophyta_prasinophytes__97.62_252_91.25____NA_NA_NA_NA" "4bd1d4f87bf11fda6d72a01343819c3d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_314_93.09__NA_NA_NA_NA" "aa831988991b5b653162c8dab3f77b0f" "0" "0" "0" "0" "0" "0" "9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Phyllopharyngea_Suctoria__94.66_206_88.61__NA_NA_NA_NA" "58c3bedc857877bb82202ac39a7e43c8" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina__97.56_217_90.88___NA_NA_NA_NA" "cba56fc58f9d4c14a7231107b01f837d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__97.96_207_72.75_NA_NA_NA_NA" "ab8a9fe04c7c7dd29fd4cf56c5b739e9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Fungi_Dikarya_Basidiomycota_Agaricomycotina_Agaricomycetes_Russulales_Stereaceae__99.21_252_ 73.78_NA_NA_NA" "8717a61515ede9ee4004d7fff31bcf0f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__98.73_157_72.57_NA_NA_NA_NA" "7a8566ddf902aa52e9fe79f189c6a7a3" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.01_134_72.42__NA_NA_NA_NA" "75b60bc58eb8e242fa3f9602120b281a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.65_231_91.49__NA_NA_NA_NA" "5678fd43cb931a82c64b7314daa6f160" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__95.97_248_89.69__NA_NA_NA_NA" "df78e6ad5ca3dde9c0170d2780467871" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__99.21_253_ 91.89_NA_NA_NA" "7abef88af2254f14193d631d63b6d3b2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Rhodophyta_Bangiophyceae_Bangiales_Bangiaceae__91.1_146_86.08___NA_NA_NA_NA" "533f934e7081704bd72516ce8b1162f5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0"
