"OTU" "Feature_name" "166_227Halis_379_198_S1_L001" "166_228Nanom_367_210_S2_L001" "166_233bChun_355_222_S3_L001" "166_234bEren_343_234_S4_L001" "166_235bApol_331_246_S5_L001" "166_236Apole_319_258_S6_L001" "166_241Lensi_307_270_S7_L001" "166_242Forsk_295_282_S8_L001" "166_243Apole_378_199_S9_L001" "166_244Steph_366_211_S10_L001" "166_245Diphy_354_223_S11_L001" "166_246Diphy_342_235_S12_L001" "166_247Diphy_330_247_S13_L001" "166_248Diphy_318_259_S14_L001" "166_249Diphy_306_271_S15_L001" "166_250Vogti_294_283_S16_L001" "166_251Diphy_377_200_S17_L001" "166_252Agalm_365_212_S18_L001" "166_253Agalm_353_224_S19_L001" "166_254Chuni_341_236_S20_L001" "166_255Apole_329_248_S21_L001" "166_256Apole_317_260_S22_L001" "166_257Apole_305_272_S23_L001" "166_258Praya_293_284_S24_L001" "166_259Steph_376_201_S25_L001" "166_260Apole_364_213_S26_L001" "166_261Sphae_352_225_S27_L001" "166_262Forsk_340_237_S28_L001" "166_263Apole_328_249_S29_L001"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_146.00_ 73.14_NA" "497790fe6efbfb8a9864556fa43aa8ad" "0" "0" "0" "0" "0" "0" "110" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "281" "0" "291" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 99.32_146.00_ 72.86_NA" "770c1764043f8908b23bb43efc424a13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "463" "0"
"Eukaryota_SAR_Stramenopiles_Ochrophyta_Mediophyceae__100_165.00_ 73.43_NA_NA" "90def7d34b358b0538cacd734d1abbb1" "0" "0" "0" "0" "136" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Stramenopiles_Ochrophyta_Mediophyceae__100_145.00_ 73.26_NA_NA" "498eec3cb54a09e286c04375faeedb87" "0" "0" "0" "0" "96" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Chlorophyta_Chlorodendrophyceae__100_164_73.17_NA_NA_NA_NA" "6d7314b5194c38345257db1a925d81b5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "95" "0"
"Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Annelida_Clitellata__100.00_146.00_ 91.59_NA" "3d3d953a810e4f2f4878bf2a8f8aa1d4" "0" "0" "0" "0" "35" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "20" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_168.00_ 90.67_NA" "2c1c252ed1232c58f0214766c995a116" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "70" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Stramenopiles_MAST-12__100_143_ 91.12_NA_NA_NA" "08e0875f85b3b13c635de65d5ef469eb" "0" "0" "0" "0" "29" "0" "0" "0" "0" "31" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__89.04_146_ 84.11_NA_NA_NA" "af55193daa3f80ae1890fd23d0cbe677" "0" "0" "0" "0" "0" "50" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__90.91_165.00_ 86.29_NA_NA" "688ce9838688f9f0b15a2d62e246921f" "0" "0" "0" "0" "0" "0" "45" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__90.91_165.00_ 86.29_NA_NA" "0562d9aee506c9a0653b4a16f85bbf08" "0" "0" "0" "0" "0" "0" "45" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_ 95.76_165.00_89.49" "a6c94e5e97945d16e5dd2ef279efdd2c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "25" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Ochrophyta__100_164_73.41_NA_NA_NA_NA" "5683e39933817f93dac66d2336b206a5" "0" "43" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Ochrophyta__100_164_73.41_NA_NA_NA_NA" "5596dd274480c1b3636231bdcfee762f" "14" "28" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Chlorophyta__100_144_91.57__NA_NA_NA_NA" "0c53b635e0e5e7c3fb20003018f3f4db" "0" "0" "0" "0" "0" "0" "0" "0" "0" "42" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__89.04_146_ 84.11_NA_NA_NA" "b6c7796443fb55960b2e72e7e776eae0" "0" "0" "0" "0" "0" "41" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ascomycota_Pezizomycotina__100_166_91.80_NA_NA_NA_NA" "ce009affb7d2ca4a74be4e78d2164d8f" "0" "0" "0" "0" "40" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Annelida_Clitellata__100.00_146.00_ 91.59_NA" "c2eed4c0d3f5afd55329fcf5959dbd30" "0" "0" "0" "0" "34" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.39_163.00_91.33" "dc195c3d6ac47e2efa03be9ff0e8e701" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "33" "0"
"Eukaryota_SAR_Rhizaria_Retaria_RAD A__100_145.00_ 72.24_NA_NA" "8ca796d2e23fe8f06b0514d2903809bc" "0" "0" "0" "0" "33" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ascomycota_Pezizomycotina__100_166_91.80_NA_NA_NA_NA" "8ca8766c8ea785a830a240f51931bf1f" "0" "0" "0" "0" "30" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I__99.39_163.00_ 91.46_NA_NA" "a623a572cc26e83ad95de318c608d51a" "0" "0" "0" "0" "29" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.38_162.00_91.44" "5c97ab242ac067dc787f2ffde10d08ab" "0" "0" "0" "0" "29" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Stramenopiles_MAST-12__100_163_ 91.38_NA_NA_NA" "d4688c23c5770f734f612c95eaffb613" "0" "0" "0" "0" "26" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I__99.39_163.00_ 91.46_NA_NA" "3c7ec98d7554ff3aeec31a62c120069b" "0" "0" "0" "0" "25" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Deuterostomia_Chordata_Tunicata_Thaliacea__100.00_146.00_ 91.32_NA" "d24d6c79da55f45536948f099a4bdbeb" "0" "0" "0" "0" "0" "0" "0" "0" "24" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_ 99.36_156.00_91.37" "6aeef48db51cc58e3fc304597db72ca8" "0" "0" "0" "0" "23" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Rhizaria_Retaria_RAD A__100_165.00_ 72.45_NA_NA" "1020182dbfebc7089894072e8e99110b" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_168.00_ 90.67_NA" "0a145469d887856a251dafc8520d3321" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Stramenopiles_Ochrophyta__99.39_163_ 87.72_NA_NA_NA" "48a93c26ca870e67a7a23041dd485b7b" "0" "0" "0" "0" "21" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 99.11_112.00_ 72.47_NA" "d34ac98d8b4337c4dbc27898ecb9ea9b" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19" "0" "0" "0"
"Eukaryota_Bilateria_Deuterostomia_Chordata_Tunicata_Thaliacea__100.00_166.00_ 91.56_NA" "f24759332d1625035e67d4009ff9081c" "0" "0" "0" "0" "0" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__89.09_165_85.21___NA_NA_NA_NA" "3dae4ca6827f8b3b7ed4b725d7c35132" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_ 95.76_165.00_89.49" "3ebbce34e153e25d5784910fbd216292" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Phyllopharyngea__94.23_156.00_ 86.68_NA_NA" "24d0f59e698b050fb709f48c77bd619a" "0" "0" "0" "15" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__89.09_165_85.21___NA_NA_NA_NA" "d29b056935113ec5291c7718cf876bbb" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.30_143.00_91.21" "bde835e18be66019ee892c9a522da1e2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__92.08_101_ 86.72_NA_NA_NA" "85f8ab238d512061fcb9058cd99c5cd9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_100.00_164.00_91.53" "50aaa7f9b687f76fa2e7ba2c3176fb83" "0" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Dinoflagellata_Dinophyceae_Gymnodiniphycidae_Gymnodinium clade_uncultured_uncultured eukaryote_NA_ 99.39_163.00_91.46" "e47d9617fb547736d88c4a0327cdc8b7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 99.40_167.00_ 73.08_NA" "c619a6d74433cfa1332eade15a542b1b" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_ 99.39_164.00_73.17" "b35bc3e573495265bab376af98085c15" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_ 99.39_165.00_91.48" "0c96a7569264479a86b1587235752415" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_ 95.76_165.00_89.49" "72c732805d1c43f6d7c453e512c29735" "0" "0" "0" "0" "0" "0" "0" "0" "9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Catenulida__100.00_162.00_ 91.76_NA" "e2fee4a9f8ba6b1d6f3c78c6d2a05748" "0" "0" "0" "0" "6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 90.80_163.00_ 86.36_NA" "d570a2d989de11a988563f4a53fe7bf3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Amoebophrya_uncultured eukaryote_uncultured eukaryote_NA_ 97.22_144.00_72.02" "f327e4e999589114692c786f7c56b508" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_ 99.31_144.00_91.23" "2f8efccffc9b79bd833436afc052c072" "0" "0" "0" "0" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cryptophyceae_Cryptophyceae_Cryptomonadales_Cryptomonas__100_141.00_ 91.54_NA_NA" "4faf65f7c3089d9e87b42ffb3b059d1f" "0" "0" "0" "0" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
