"OTU" "Feature_name" "272_179_Lych_384_193_S1_L001" "272_180_Reso_372_205_S2_L001" "272_185_Barg_348_229_S4_L001" "272_186_Reso_336_241_S5_L001" "272_188_Barg_324_253_S6_L001" "272_189_Barg_312_265_S7_L001" "272_191_Marr_383_194_S9_L001" "272_193_Reso_371_206_S10_L001" "272_200_Fril_359_218_S11_L001" "272_201_Apol_347_230_S12_L001" "272_202_Apol_335_242_S13_L001" "272_204_Keph_311_266_S15_L001" "272_205_Keph_299_278_S16_L001" "272_206_Nano_382_195_S17_L001" "272_207_Unde_370_207_S18_L001" "272_208_Lily_358_219_S19_L001" "272_209_Phys_346_231_S20_L001" "272_210_Lych_334_243_S21_L001" "272_211_Apol_322_255_S22_L001" "272_212_Fril_310_267_S23_L001" "272_213_Fors_298_279_S24_L001" "272_214_Lych_381_196_S25_L001" "272_215_Agal_369_208_S26_L001" "272_216_Diph_357_220_S27_L001" "272_217_Diph_345_232_S28_L001" "272_218_Diph_333_244_S29_L001" "272_219_Diph_321_256_S30_L001" "272_220_Cord_309_268_S31_L001" "272_221_Diph_297_280_S32_L001" "272_222_Gymn_380_197_S33_L001" "272_223_Cras_368_209_S34_L001" "272_225_Nano_344_233_S36_L001" "272_226_Desm_332_245_S37_L001" "272_229_Chun_320_257_S38_L001" "272_230_Lych_308_269_S39_L001" "272_231_Fors_296_281_S40_L001" "272_232_Barg_379_198_S41_L001" "272_237_Chun_367_210_S42_L001" "272_238_Gymn_355_222_S43_L001" "272_239_Barg_343_234_S44_L001" "272_240_Chun_331_246_S45_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__96.15_52_ 88.65_NA_NA" "9ec553637b93b6e7b1accbe36ff86825" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "231" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_232_92.46___NA_NA_NA" "adac85cf596e5c6fe19a2d8af042b5de" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "172" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__99.07_215_89.71___NA_NA_NA" "5caca7cde84cb95493be5cd62296121f" "0" "0" "0" "46" "0" "87" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria__98.81_253_73.61__NA_NA_NA" "cfed83daeca2188be93d8458bea8fb40" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "149" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Chrysophyceae_Chrysophyceae_Chromulinales_Paraphysomonadaceae_Paraphysomonas__ 95.24_252.00_ 89.82" "ced32704eb19787ccdf99bd12251f5d9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "127" "0" "0" "0" "0"
"Eukaryota__99.21_252_91.88___NA_NA_NA" "9ecc342e6fb43fd308b4ebb5adec50ee" "0" "0" "0" "60" "0" "38" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__99.07_215_89.71___NA_NA_NA" "eec649660f3677e698276da3cf6a1543" "0" "0" "0" "0" "0" "92" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__99.21_252_91.88___NA_NA_NA" "3bc056ea32ddc6c5f9c3e9be7b347aee" "0" "0" "0" "40" "0" "48" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Chrysophyceae_Chrysophyceae_Chromulinales__96.6_206_ 90.21_NA_NA" "9cf70395dc2753d13e28f92aef36de61" "0" "0" "0" "0" "0" "71" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Chrysophyceae_Chrysophyceae_Chromulinales__96.6_206_ 90.21_NA_NA" "78c6c378f467e915083cddf5231ebe55" "0" "0" "0" "0" "0" "70" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__98.59_142_90.83_NA_NA_NA" "0f3b2136a7c8f66b9740f4a19995ef52" "0" "0" "0" "0" "0" "0" "42" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__98.52_203_90.30___NA_NA_NA" "b5bb539dd1894571535d26de7946b480" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "52" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia__96.44_253.00_ 90.48_NA" "5668f83844b33a184029ba65ee8d4a3d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "49" "0" "0" "0" "0"
"Eukaryota_Chrysophyceae_Chrysophyceae_Chromulinales_Paraphysomonadaceae_Paraphysomonas__ 98.98_196.00_ 91.57" "217e77043fafbda73feffe59230a7d63" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "44" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Anthoathecata__97.3_111.00_ 71.87_NA" "f358da02bca5c066e3ce6f1a16271e8b" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "23" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa__99.2_251_92.21__NA_NA_NA" "cb2d10f4d7fddd8ccfec0642ef2f453b" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Anthoathecata__97.3_111.00_ 71.87_NA" "447d35d0a1794bb8fcdf929262135d70" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "36" "0" "0" "0" "0" "0"
"Eukaryota_Chordata_Tunicata_Thaliacea_Salpida_Iasis_Iasis cylindrica_NA_100.00_252.00" "b39352f98a4d5686886ebc6e35293fb4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "26" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Chordata_Tunicata_Thaliacea_Salpida_Iasis_Iasis cylindrica_NA_100.00_252.00" "3831957acdee8df9a05e9c60c2faa5fd" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "26" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca__89.55_201.00_ 85.77_NA" "037f4e98598b1250f4988ae76af97d71" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa__96.69_242_90.29__NA_NA_NA" "ca145cc72819ec4a93fea00385a6d4a4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_180_91.94___NA_NA_NA" "1f9f3b6f8ebba77d3f5f2fdf96cbaa72" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_ 28.00_ 72.25_NA" "a3bc2939ea1acb1f6ebec84dd1b797b8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "20" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__92.61_176_88.12___NA_NA_NA" "4dc35a5d36d2f5dcabaaa0548833e79b" "0" "0" "0" "20" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bacillariophyta_Bacillariophyceae_Cymbellales_Cymbellaceae_Cymbella__ 98.54_205.00_ 73.08" "4bd1d4f87bf11fda6d72a01343819c3d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__100_182_91.96_NA_NA_NA" "aa831988991b5b653162c8dab3f77b0f" "0" "0" "0" "0" "0" "0" "9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__92.61_176_88.96___NA_NA_NA" "58c3bedc857877bb82202ac39a7e43c8" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_ 28.00_ 72.25_NA" "73a71469e9f2985efcfdaa1c3488db25" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.56_217.00_ 90.99_NA" "cba56fc58f9d4c14a7231107b01f837d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.96_207.00_ 91.24_NA" "ab8a9fe04c7c7dd29fd4cf56c5b739e9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__97.09_206_90.45___NA_NA_NA" "8717a61515ede9ee4004d7fff31bcf0f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__98.73_157_91.06_NA_NA_NA" "7a8566ddf902aa52e9fe79f189c6a7a3" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.01_134.00_ 90.97_NA" "75b60bc58eb8e242fa3f9602120b281a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.65_231.00_ 91.65_NA" "5678fd43cb931a82c64b7314daa6f160" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__95.97_248.00_ 90.33_NA" "df78e6ad5ca3dde9c0170d2780467871" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia__99.21_253.00_ 73.79_NA" "7abef88af2254f14193d631d63b6d3b2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__93.28_119_87.52___NA_NA_NA" "533f934e7081704bd72516ce8b1162f5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0"
"Eukaryota_Unknown Eukaryote_N/A_ N/A_N/A___NA_NA_NA" "ecda7eb87bb85e7c9479518af0178534" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3" "0" "0" "0" "0"
"Eukaryota_Unknown Eukaryote_N/A_ N/A_N/A___NA_NA_NA" "5b45a8a518609de976934685ce43647c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
